year,gmst_obs,OHC,erf_wm2
1850,-0.4177114,,0.0
1851,-0.2333498,,0.0334253
1852,-0.22939907,,0.0522301
1853,-0.27035445,,0.0589089
1854,-0.29152083,,0.0535603
1855,-0.29691675,,-0.0200172
1856,-0.32035372,,-0.976688
1857,-0.46723005,,-1.45609
1858,-0.3887657,,-0.603469
1859,-0.28126517,,-0.135536
1860,-0.39016518,,0.0437798
1861,-0.42911294,,0.0508637
1862,-0.5363694,,-0.226763
1863,-0.34424406,,-0.133858
1864,-0.46546507,,-0.00284416
1865,-0.33248132,,0.053886
1866,-0.3412875,,0.0766885
1867,-0.35699412,,0.0830955
1868,-0.35182714,,0.114166
1869,-0.31659195,,0.143029
1870,-0.32792753,0.0,0.18286
1871,-0.36856276,1.1333540127674535,0.178288
1872,-0.32811058,2.9640750043293997,0.155279
1873,-0.3412969,1.518910315844235,0.0880177
1874,-0.3732512,1.2951184458058955,0.104159
1875,-0.37562594,-0.4734600354654681,0.107279
1876,-0.4241099,2.7554908136513627,-0.00801787
1877,-0.10110884,8.085083789494698,0.0309135
1878,-0.011315192,12.672699895702847,0.0823864
1879,-0.30363432,15.841639734652361,0.119255
1880,-0.31583205,19.853688883771508,0.172083
1881,-0.23224552,17.266574422051196,0.216377
1882,-0.29553008,14.733859494104118,0.202328
1883,-0.3464744,13.992758786690993,-1.19805
1884,-0.49232006,13.350306795831523,-3.43875
1885,-0.47112358,13.719271874578395,-1.20872
1886,-0.42090362,15.0889879483077,-0.673328
1887,-0.49878576,16.472766170191345,-0.66509
1888,-0.37937889,16.688897465977284,-0.345593
1889,-0.24989556,15.55238664261608,-0.496152
1890,-0.50685817,14.688321754322537,-0.721266
1891,-0.40131494,13.339655402272058,-0.412245
1892,-0.5075585,11.666354422056603,-0.213527
1893,-0.49461922,10.23276278836242,0.10597
1894,-0.48376393,12.872827412697207,0.257517
1895,-0.4487516,16.707754580586162,0.282049
1896,-0.28400728,20.234222175678557,-0.139218
1897,-0.25980017,22.767663852764418,-0.166224
1898,-0.48579213,27.902886484265053,-0.0235465
1899,-0.35543364,29.8796075843819,0.161145
1900,-0.2344939,26.750364270271174,0.232202
1901,-0.29341024,21.377016376009916,0.249837
1902,-0.43895653,13.03624425238382,-0.344603
1903,-0.5332871,2.7318227687526107,-1.47427
1904,-0.59751105,-6.3428048695790435,-0.375264
1905,-0.40779322,-13.656884454023553,0.0544374
1906,-0.31910878,-20.48043773810142,0.216866
1907,-0.5040763,-24.383075524226378,0.154947
1908,-0.5138197,-28.783155412892373,0.188115
1909,-0.53568715,-34.97209287484221,0.309598
1910,-0.5309095,-40.55754469626905,0.316305
1911,-0.539079,-43.274529429244986,0.351319
1912,-0.47553864,-44.907197417203264,-0.0893087
1913,-0.4670111,-41.78566220698723,-0.164395
1914,-0.26243657,-35.483681592027835,0.202368
1915,-0.19167219,-31.369055692479634,0.40274
1916,-0.42002314,-27.963419955276162,0.4757
1917,-0.5428197,-25.1972468590119,0.524868
1918,-0.4243641,-24.990566801136264,0.542483
1919,-0.32528907,-27.114197284133176,0.518306
1920,-0.29835507,-27.594414998057655,0.31114
1921,-0.24044435,-29.61166087338532,0.362317
1922,-0.3390137,-30.896251837349617,0.47277
1923,-0.31768188,-33.74968196596553,0.529866
1924,-0.3118017,-33.27475812009255,0.487014
1925,-0.28214198,-29.43901227701646,0.54301
1926,-0.122555,-24.50064820922421,0.580799
1927,-0.2291136,-20.755513029824005,0.642126
